name,style_name,abv,att_0,att_1,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9
Hazy Little Thing,American IPA,6.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Holiday Haze,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Hoppy Wheat IPA,American IPA,6.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Hotbox Coffee IPA,American IPA,7.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
IPA,American IPA,5.6,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
IceyPA,American IPA,7.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
India Pale Ale IPA,American IPA,6.4,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Kill Ugly Radio,American IPA,7.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Lagunitas IPA,American IPA,6.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Larry Imperial IPA,American IPA,8.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Leghorn Rye IPA,American IPA,6.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Light IPA,American IPA,4.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Little Birdy,American IPA,6.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Lolo IPA,American IPA,6.4,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Long Steam IPA,American IPA,5.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Lucky U IPA,American IPA,6.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Lupu Lava Tropical IPA,American IPA,6.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Mad Hatter IPA,American IPA,7.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Maximus,American IPA,8.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Mozango,American IPA,7.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
NXS,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Narconaut,American IPA,6.6,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Nice Things IPA,American IPA,6.4,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Nitro Lucky U IPA,American IPA,5.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
No Middle Ground,American IPA,6.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Now You Know,American IPA,6.1,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
